"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Sorting is not available for the Form widget","5375","Sorting test","","Wed Apr 16 11:18:38 GMT 2025","passed","Wed Apr 16 11:18:43 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","sorting"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","7382","Confirmation Popup Validation Test","","Wed Apr 16 11:19:44 GMT 2025","passed","Wed Apr 16 11:19:52 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","confirm"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","7464","Required Message text Verification field test","","Wed Apr 16 11:24:44 GMT 2025","passed","Wed Apr 16 11:24:51 GMT 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","required"
"The test sets the value in the field, and then checks the value in the field with what should be set","10805","A test for setting a value in a field","","Wed Apr 16 11:16:52 GMT 2025","passed","Wed Apr 16 11:17:03 GMT 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","edit"
"The test checks the list of options that the method returns, with the expected result","9798","Test to get a list of options","","Wed Apr 16 11:21:50 GMT 2025","passed","Wed Apr 16 11:22:00 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","getListOptions"
"Sorting is not available for the Form widget","6697","Sorting test","","Wed Apr 16 11:16:52 GMT 2025","passed","Wed Apr 16 11:16:59 GMT 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","sorting"
"The Hint field type is always read-only","8579","A test to check the field for ""Read-only""","","Wed Apr 16 11:14:32 GMT 2025","passed","Wed Apr 16 11:14:41 GMT 2025","","Form. Checking the basic functions for the MultiValueHover in the widget Form","application.Samples.Form.MultiValueHoverOnFormTest","readonly"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","7191","Run-time exception validation test","","Wed Apr 16 11:20:05 GMT 2025","passed","Wed Apr 16 11:20:12 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","runtimeException"
"The test sets the value in the field, and then checks the value in the field with what should be set","9555","A test for setting a value in a field","","Wed Apr 16 11:23:23 GMT 2025","passed","Wed Apr 16 11:23:32 GMT 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","edit"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","9278","Business Exception Validation Test","","Wed Apr 16 11:22:36 GMT 2025","passed","Wed Apr 16 11:22:45 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","businessException"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","9219","Required Message text Verification field test","","Wed Apr 16 11:18:03 GMT 2025","passed","Wed Apr 16 11:18:12 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","required"
"DrillDown is not available for InfoWidget.","5155","The DrillDown test","","Wed Apr 16 11:24:28 GMT 2025","passed","Wed Apr 16 11:24:33 GMT 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","8661","Run-time exception validation test","","Wed Apr 16 11:18:29 GMT 2025","passed","Wed Apr 16 11:18:38 GMT 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","runtimeException"
"Filtering is not available for the Form widget","10765","Filtering test","","Wed Apr 16 11:15:00 GMT 2025","passed","Wed Apr 16 11:15:11 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","filtration"
"The InfoWidget doesn't have a Placeholder.","7013","Test for getting the Placeholder value","","Wed Apr 16 11:27:09 GMT 2025","passed","Wed Apr 16 11:27:16 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","placeholder"
"Sorting is not available for the Form widget","8794","Sorting test","","Wed Apr 16 11:17:28 GMT 2025","passed","Wed Apr 16 11:17:36 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","sorting"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","6619","Required Message text Verification field test","","Wed Apr 16 11:19:06 GMT 2025","passed","Wed Apr 16 11:19:13 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","required"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10359","Required Message validation test for multiple fields","","Wed Apr 16 11:14:10 GMT 2025","passed","Wed Apr 16 11:14:21 GMT 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","fieldLevelValidation"
"The test sets the characters in the field, and then returns a list of values that match or contain characters","13595","Character Matching test","","Wed Apr 16 11:19:32 GMT 2025","passed","Wed Apr 16 11:19:46 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","valuesInList"
"Sorting is not available for the Form widget","27731","Sorting test","","Wed Apr 16 11:12:20 GMT 2025","passed","Wed Apr 16 11:12:48 GMT 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","sorting"
"The test checks for the disabled attribute","9527","A test to check the field for ""Read-only""","","Wed Apr 16 11:18:26 GMT 2025","passed","Wed Apr 16 11:18:36 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","readonly"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","11622","Business Exception Validation Test","","Wed Apr 16 11:13:47 GMT 2025","passed","Wed Apr 16 11:13:59 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","businessException"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10690","Required Message validation test for multiple fields","","Wed Apr 16 11:14:13 GMT 2025","passed","Wed Apr 16 11:14:24 GMT 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","fieldLevelValidation"
"DrillDown is not available for InfoWidget.","6967","The DrillDown test","","Wed Apr 16 11:28:21 GMT 2025","passed","Wed Apr 16 11:28:27 GMT 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","drillDown"
"The test sets the value in the field, and then checks the value in the field with what should be set","11784","A test for setting a value in a field","","Wed Apr 16 11:16:00 GMT 2025","passed","Wed Apr 16 11:16:12 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","edit"
"Filtering is not available for the Form widget","10728","Filtering test","","Wed Apr 16 11:13:02 GMT 2025","passed","Wed Apr 16 11:13:13 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","filtration"
"Info Widget is always read-only","7701","A test to check the field for ""Read-only""","","Wed Apr 16 11:26:32 GMT 2025","passed","Wed Apr 16 11:26:40 GMT 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","readonly"
"Sorting is not available for InfoWidget.","7164","Sorting test","","Wed Apr 16 11:29:29 GMT 2025","passed","Wed Apr 16 11:29:36 GMT 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","sorting"
"The test checks for the disabled attribute","8336","A test to check the field for ""Read-only""","","Wed Apr 16 11:22:08 GMT 2025","passed","Wed Apr 16 11:22:17 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","readonly"
"The test checks for the disabled attribute","9606","A test to check the field for ""Read-only""","","Wed Apr 16 11:22:43 GMT 2025","passed","Wed Apr 16 11:22:52 GMT 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","readonly"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","5956","A test to get the field color value in Hex format","","Wed Apr 16 11:26:15 GMT 2025","passed","Wed Apr 16 11:26:21 GMT 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","color"
"","9491","The test for getting the value from the field","","Wed Apr 16 11:27:45 GMT 2025","passed","Wed Apr 16 11:27:55 GMT 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","read"
"The InfoWidget doesn't have a Placeholder.","5688","Test for getting the Placeholder value","","Wed Apr 16 11:27:01 GMT 2025","passed","Wed Apr 16 11:27:07 GMT 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","placeholder"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9330","A test to get the field color value in Hex format","","Wed Apr 16 11:19:23 GMT 2025","passed","Wed Apr 16 11:19:32 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","color"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","11745","Business Exception Validation Test","","Wed Apr 16 11:18:58 GMT 2025","passed","Wed Apr 16 11:19:10 GMT 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","businessException"
"DrillDown is not available for InfoWidget.","9254","The DrillDown test","","Wed Apr 16 11:28:48 GMT 2025","passed","Wed Apr 16 11:28:57 GMT 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","drillDown"
