"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for the Form widget","6606","Filtering test","","Tue Jul 08 09:44:26 GMT 2025","passed","Tue Jul 08 09:44:33 GMT 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","filtration"
"Sorting is not available for the Form widget","7736","Sorting test","","Tue Jul 08 09:45:07 GMT 2025","passed","Tue Jul 08 09:45:15 GMT 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","sorting"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","7228","Business Exception Validation Test","","Tue Jul 08 09:50:40 GMT 2025","passed","Tue Jul 08 09:50:48 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","businessException"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","7927","Run-time exception validation test","","Tue Jul 08 09:43:58 GMT 2025","passed","Tue Jul 08 09:44:06 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","runtimeException"
"Checking the url before the transition and after the transition/click on a special element","6545","The DrillDown test","","Tue Jul 08 09:50:05 GMT 2025","passed","Tue Jul 08 09:50:12 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","drillDown"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","63229","Required Message validation test for multiple fields","","Tue Jul 08 09:32:45 GMT 2025","passed","Tue Jul 08 09:33:48 GMT 2025","","List. Checking the basic functions for the Date in the widget List","application.Samples.List.DateOnListTest","fieldLevelValidation"
"The test sets the value in the field, and then checks the value in the field with what should be set","6996","A test for setting a value in a field","","Tue Jul 08 09:49:15 GMT 2025","passed","Tue Jul 08 09:49:22 GMT 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","edit"
"InfoWidget does not have a Hex field color for this type.","8770","A test to get the field color value in Hex format","","Tue Jul 08 09:23:41 GMT 2025","passed","Tue Jul 08 09:23:50 GMT 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","color"
"","8560","Test to get the name of the downloaded file","","Tue Jul 08 09:20:01 GMT 2025","passed","Tue Jul 08 09:20:10 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","getFileName"
"Sorting is not available for the Form widget","6288","Sorting test","","Tue Jul 08 09:49:59 GMT 2025","passed","Tue Jul 08 09:50:05 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","sorting"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","7492","Required Message validation test for one field","","Tue Jul 08 09:50:25 GMT 2025","passed","Tue Jul 08 09:50:33 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","fieldLevelValidationAnnotation"
"Sorting is not available for InfoWidget.","6713","Sorting test","","Tue Jul 08 09:23:43 GMT 2025","passed","Tue Jul 08 09:23:49 GMT 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","sorting"
"The test calls Popup, the method returns a list with column headings","7188","The test for getting column headings","","Tue Jul 08 09:45:28 GMT 2025","passed","Tue Jul 08 09:45:35 GMT 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","getColumnName"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","9857","Business Exception Validation Test","","Tue Jul 08 09:30:58 GMT 2025","passed","Tue Jul 08 09:31:08 GMT 2025","","List. Checking the basic functions for the MultipleSelect in the widget List","application.Samples.List.MultipleSelectOnListTest","businessException"
"The test checks for the disabled attribute","9377","A test to check the field for ""Read-only""","","Tue Jul 08 09:46:42 GMT 2025","passed","Tue Jul 08 09:46:52 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","readonly"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","7672","A test to get the field color value in Hex format","","Tue Jul 08 09:37:45 GMT 2025","passed","Tue Jul 08 09:37:52 GMT 2025","","List. Checking the basic functions for the CheckBox","application.Samples.List.CheckBoxOnListTest","color"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9395","A test to get the field color value in Hex format","","Tue Jul 08 09:22:39 GMT 2025","passed","Tue Jul 08 09:22:49 GMT 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","color"
"Checking the url before the transition and after the transition/click on a special element","8213","The DrillDown test","","Tue Jul 08 09:48:33 GMT 2025","passed","Tue Jul 08 09:48:41 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","drillDown"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","6408","A test to get the field color value in Hex format","","Tue Jul 08 09:24:17 GMT 2025","passed","Tue Jul 08 09:24:23 GMT 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","color"
"The test gets the value in the field, and then checks the value in the field with what should be.","0","A test for checking a value in a field","","Tue Jul 08 09:35:18 GMT 2025","skipped","Tue Jul 08 09:35:18 GMT 2025","","List. Checking the basic functions for the PickList in the widget List","application.Samples.List.PickListOnListTest","read"
